"ALB","Albania","Europe","Southern Europe",28748.00,1912,3401200,71.6,3205.00,2500.00,"Shqip�ria","Republic","Rexhep Mejdani",34,"AL",1;
"AND","Andorra","Europe","Southern Europe",468.00,1278,78000,83.5,1630.00,\N,"Andorra","Parliamentary Coprincipality","",55,"AD",1;
"AUT","Austria","Europe","Western Europe",83859.00,1918,8091800,77.7,211860.00,206025.00,"�sterreich","Federal Republic","Thomas Klestil",1523,"AT",6;
"BEL","Belgium","Europe","Western Europe",30518.00,1830,10239000,77.8,249704.00,243948.00,"Belgi�/Belgique","Constitutional Monarchy, Federation","Albert II",179,"BE",9;
"BGR","Bulgaria","Europe","Eastern Europe",110994.00,1908,8190900,70.9,12178.00,10169.00,"Balgarija","Republic","Petar Stojanov",539,"BG",10;
"BIH","Bosnia and Herzegovina","Europe","Southern Europe",51197.00,1992,3972000,71.5,2841.00,\N,"Bosna i Hercegovina","Federal Republic","Ante Jelavic",201,"BA",3;
"BLR","Belarus","Europe","Eastern Europe",207600.00,1991,10236000,68.0,13714.00,\N,"Belarus","Republic","Aljaksandr Luka�enka",3520,"BY",16;
"CHE","Switzerland","Europe","Western Europe",41284.00,1499,7160400,79.6,264478.00,256092.00,"Schweiz/Suisse/Svizzera/Svizra","Federation","Adolf Ogi",3248,"CH",5;
"CZE","Czech Republic","Europe","Eastern Europe",78866.00,1993,10278100,74.5,55017.00,52037.00,"�esko","Republic","V�clav Havel",3339,"CZ",10;
"DEU","Germany","Europe","Western Europe",357022.00,1955,82164700,77.4,2133367.00,2102826.00,"Deutschland","Federal Republic","Johannes Rau",3068,"DE",93;
"DNK","Denmark","Europe","Nordic Countries",43094.00,800,5330000,76.5,174099.00,169264.00,"Danmark","Constitutional Monarchy","Margrethe II",3315,"DK",5;
"ESP","Spain","Europe","Southern Europe",505992.00,1492,39441700,78.8,553233.00,532031.00,"Espa�a","Constitutional Monarchy","Juan Carlos I",653,"ES",59;
"EST","Estonia","Europe","Baltic Countries",45227.00,1991,1439200,69.5,5328.00,3371.00,"Eesti","Republic","Lennart Meri",3791,"EE",2;
"FIN","Finland","Europe","Nordic Countries",338145.00,1917,5171300,77.4,121914.00,119833.00,"Suomi","Republic","Tarja Halonen",3236,"FI",7;
"FRA","France","Europe","Western Europe",551500.00,843,59225700,78.8,1424285.00,1392448.00,"France","Republic","Jacques Chirac",2974,"FR",40;
"FRO","Faroe Islands","Europe","Nordic Countries",1399.00,\N,43000,78.4,0.00,\N,"F�royar","Part of Denmark","Margrethe II",901,"FO",1;
"GBR","United Kingdom","Europe","British Islands",242900.00,1066,59623400,77.7,1378330.00,1296830.00,"United Kingdom","Constitutional Monarchy","Elisabeth II",456,"GB",81;
"GIB","Gibraltar","Europe","Southern Europe",6.00,\N,25000,79.0,258.00,\N,"Gibraltar","Dependent Territory of the UK","Elisabeth II",915,"GI",1;
"GRC","Greece","Europe","Southern Europe",131626.00,1830,10545700,78.4,120724.00,119946.00,"Ell�da","Republic","Kostis Stefanopoulos",2401,"GR",8;
"HRV","Croatia","Europe","Southern Europe",56538.00,1991,4473000,73.7,20208.00,19300.00,"Hrvatska","Republic","�tipe Mesic",2409,"HR",4;
"HUN","Hungary","Europe","Eastern Europe",93030.00,1918,10043200,71.4,48267.00,45914.00,"Magyarorsz�g","Republic","Ferenc M�dl",3483,"HU",9;
"IRL","Ireland","Europe","British Islands",70273.00,1921,3775100,76.8,75921.00,73132.00,"Ireland/�ire","Republic","Mary McAleese",1447,"IE",2;
"ISL","Iceland","Europe","Nordic Countries",103000.00,1944,279000,79.4,8255.00,7474.00,"�sland","Republic","�lafur Ragnar Gr�msson",1449,"IS",1;
"ITA","Italy","Europe","Southern Europe",301316.00,1861,57680000,79.0,1161755.00,1145372.00,"Italia","Republic","Carlo Azeglio Ciampi",1464,"IT",58;
"LIE","Liechtenstein","Europe","Western Europe",160.00,1806,32300,78.8,1119.00,1084.00,"Liechtenstein","Constitutional Monarchy","Hans-Adam II",2446,"LI",2;
"LTU","Lithuania","Europe","Baltic Countries",65301.00,1991,3698500,69.1,10692.00,9585.00,"Lietuva","Republic","Valdas Adamkus",2447,"LT",5;
"LUX","Luxembourg","Europe","Western Europe",2586.00,1867,435700,77.1,16321.00,15519.00,"Luxembourg/L�tzebuerg","Constitutional Monarchy","Henri",2452,"LU",1;
"LVA","Latvia","Europe","Baltic Countries",64589.00,1991,2424200,68.4,6398.00,5639.00,"Latvija","Republic","Vaira Vike-Freiberga",2434,"LV",3;
"MCO","Monaco","Europe","Western Europe",1.50,1861,34000,78.8,776.00,\N,"Monaco","Constitutional Monarchy","Rainier III",2695,"MC",2;
"MDA","Moldova","Europe","Eastern Europe",33851.00,1991,4380000,64.5,1579.00,1872.00,"Moldova","Republic","Vladimir Voronin",2690,"MD",4;
"MKD","Macedonia","Europe","Southern Europe",25713.00,1991,2024000,73.8,1694.00,1915.00,"Makedonija","Republic","Boris Trajkovski",2460,"MK",1;
"MLT","Malta","Europe","Southern Europe",316.00,1964,380200,77.9,3512.00,3338.00,"Malta","Republic","Guido de Marco",2484,"MT",2;
"NLD","Netherlands","Europe","Western Europe",41526.00,1581,15864000,78.3,371362.00,360478.00,"Nederland","Constitutional Monarchy","Beatrix",5,"NL",28;
"NOR","Norway","Europe","Nordic Countries",323877.00,1905,4478500,78.7,145895.00,153370.00,"Norge","Constitutional Monarchy","Harald V",2807,"NO",5;
"POL","Poland","Europe","Eastern Europe",323250.00,1918,38653600,73.2,151697.00,135636.00,"Polska","Republic","Aleksander Kwasniewski",2928,"PL",44;
"PRT","Portugal","Europe","Southern Europe",91982.00,1143,9997600,75.8,105954.00,102133.00,"Portugal","Republic","Jorge Samp�io",2914,"PT",5;
"ROM","Romania","Europe","Eastern Europe",238391.00,1878,22455500,69.9,38158.00,34843.00,"Rom�nia","Republic","Ion Iliescu",3018,"RO",29;
"RUS","Russian Federation","Europe","Eastern Europe",17075400.00,1991,146934000,67.2,276608.00,442989.00,"Rossija","Federal Republic","Vladimir Putin",3580,"RU",189;
"SJM","Svalbard and Jan Mayen","Europe","Nordic Countries",62422.00,\N,3200,\N,0.00,\N,"Svalbard og Jan Mayen","Dependent Territory of Norway","Harald V",938,"SJ",1;
"SMR","San Marino","Europe","Southern Europe",61.00,885,27000,81.1,510.00,\N,"San Marino","Republic",\N,3171,"SM",2;
"SVK","Slovakia","Europe","Eastern Europe",49012.00,1993,5398700,73.7,20594.00,19452.00,"Slovensko","Republic","Rudolf Schuster",3209,"SK",3;
"SVN","Slovenia","Europe","Southern Europe",20256.00,1991,1987800,74.9,19756.00,18202.00,"Slovenija","Republic","Milan Kucan",3212,"SI",2;
"SWE","Sweden","Europe","Nordic Countries",449964.00,836,8861400,79.6,226492.00,227757.00,"Sverige","Constitutional Monarchy","Carl XVI Gustaf",3048,"SE",15;
"UKR","Ukraine","Europe","Eastern Europe",603700.00,1991,50456000,66.0,42168.00,49677.00,"Ukrajina","Republic","Leonid Kut�ma",3426,"UA",57;
"VAT","Holy See (Vatican City State)","Europe","Southern Europe",0.40,1929,1000,\N,9.00,\N,"Santa Sede/Citt� del Vaticano","Independent Church State","Johannes Paavali II",3538,"VA",1;
"YUG","Yugoslavia","Europe","Southern Europe",102173.00,1918,10640000,72.4,17000.00,\N,"Jugoslavija","Federal Republic","Vojislav Ko�tunica",1792,"YU",8;
